Date,Region,Category,Product,Quantity,Price,Sales,Profit
2024-02-08,West,Groceries,Beverages,9,7650,68850,20543.02
2024-02-09,North,Stationery,Pen,2,4996,9992,1885.86
2024-02-09,East,Stationery,Marker,6,15041,90246,20132.78
2024-02-09,East,Furniture,Bookshelf,1,7514,7514,2332.71
2024-02-09,East,Stationery,Marker,8,10309,82472,26118.9
2024-02-10,East,Stationery,Files,3,17940,53820,17697.52
2024-02-10,West,Groceries,Beverages,9,17509,157581,46993.06
2024-02-11,South,Groceries,Snacks,2,2527,5054,1286.42
2024-02-11,West,Stationery,Pen,1,9311,9311,2443.68
2024-02-11,West,Stationery,Notebook,3,17024,51072,13660.71
2024-02-11,South,Furniture,Sofa,5,5534,27670,5915.15
2024-02-11,East,Stationery,Notebook,1,4227,4227,482.47
2024-02-12,West,Stationery,Pen,5,11410,57050,6311.15
2024-02-12,East,Clothing,Jeans,2,13236,26472,3690.04
2024-02-12,East,Clothing,Jacket,9,7550,67950,15317.96
2024-02-13,North,Stationery,Files,9,13336,120024,30584.3
2024-02-13,South,Furniture,Sofa,5,11547,57735,3832.63
2024-02-13,South,Electronics,Laptop,1,9811,9811,2406.02
2024-02-14,East,Groceries,Snacks,1,6571,6571,1760.31
2024-02-14,South,Furniture,Sofa,2,2803,5606,1436.02
2024-02-15,North,Clothing,Shirt,1,7209,7209,1731.61
2024-02-15,East,Groceries,Oil,5,1039,5195,1141.17
2024-02-15,South,Furniture,Chair,8,5502,44016,13659.69
2024-02-15,West,Groceries,Beverages,6,14341,86046,15814.11
2024-02-15,North,Groceries,Beverages,8,16585,132680,27898.98
2024-02-15,West,Groceries,Rice,8,11936,95488,23741.52
2024-02-16,West,Groceries,Beverages,5,8827,44135,9699.4
2024-02-16,South,Stationery,Pen,8,10054,80432,12034.41
2024-02-16,North,Stationery,Notebook,2,5903,11806,4065.27
2024-02-17,East,Clothing,Jacket,9,4676,42084,12354.17
2024-02-17,West,Electronics,Smartwatch,1,2584,2584,785.77
2024-02-18,South,Electronics,Headphones,5,14753,73765,18791.89
2024-02-18,North,Clothing,Jacket,7,16238,113666,18502.72
2024-02-18,South,Electronics,Smartwatch,7,17961,125727,11185.89
2024-02-18,West,Electronics,Mobile,4,5187,20748,2810.78
2024-02-20,East,Electronics,Mobile,6,10107,60642,3738.6
2024-02-20,East,Electronics,Smartwatch,8,8170,65360,8036.12
2024-02-21,West,Furniture,Sofa,3,14835,44505,3776.43
2024-02-21,West,Electronics,Mobile,1,11865,11865,4008.92
2024-02-21,North,Groceries,Rice,5,1989,9945,2998.48
2024-02-21,North,Clothing,Jacket,4,10336,41344,10754.8
2024-02-21,East,Electronics,Laptop,7,12327,86289,24670.66
2024-02-23,East,Groceries,Snacks,7,3329,23303,5807.81
2024-02-23,East,Furniture,Bookshelf,4,18165,72660,13743.22
2024-02-23,North,Clothing,Shoes,1,14799,14799,4158.49
2024-02-24,West,Furniture,Sofa,1,15203,15203,2579.23
2024-02-24,West,Furniture,Sofa,9,6355,57195,2882.98
2024-02-24,West,Groceries,Beverages,2,13709,27418,4125.41
2024-02-25,North,Groceries,Rice,6,8252,49512,3218.61
2024-02-25,South,Electronics,Smartwatch,8,11418,91344,17488.91
2024-02-25,West,Electronics,Laptop,2,2941,5882,896.26
2024-02-25,West,Furniture,Sofa,3,19431,58293,9514.37
2024-02-26,East,Furniture,Table,2,13081,26162,3824.52
2024-02-26,East,Groceries,Beverages,9,5952,53568,10307.36
2024-02-27,East,Stationery,Pen,1,17080,17080,2915.43
2024-02-27,North,Groceries,Rice,3,8466,25398,4457.73
2024-02-27,South,Furniture,Bookshelf,8,10400,83200,22951.07
2024-02-27,North,Stationery,Marker,1,7693,7693,1751.62
2024-02-28,North,Groceries,Oil,4,9480,37920,3227.74
2024-02-28,East,Furniture,Sofa,9,3948,35532,10762.11
2024-02-28,North,Electronics,Smartwatch,2,1829,3658,1136.15
2024-02-28,East,Electronics,Smartwatch,9,19030,171270,54013.69
2024-02-28,North,Groceries,Rice,6,12555,75330,25915.98
2024-02-28,East,Electronics,Smartwatch,7,12024,84168,21674.61
2024-02-28,South,Groceries,Snacks,8,11646,93168,6647.92
2024-02-29,West,Furniture,Sofa,1,17620,17620,1211.72
2024-03-01,East,Furniture,Sofa,9,4532,40788,2727.66
2024-03-01,West,Furniture,Bookshelf,1,12075,12075,3990.05
2024-03-02,South,Stationery,Marker,4,6753,27012,4299.5
2024-03-02,East,Groceries,Snacks,8,3891,31128,3896.43
2024-03-03,North,Clothing,Jacket,8,14186,113488,32577.03
2024-03-03,North,Clothing,Shoes,9,18853,169677,57935.41
2024-03-03,South,Stationery,Files,8,11225,89800,26089.08
2024-03-04,East,Stationery,Pen,2,10014,20028,2657.05
2024-03-05,North,Electronics,Headphones,8,2227,17816,2459.44
2024-03-06,North,Furniture,Sofa,2,4470,8940,2920.97
2024-03-06,West,Furniture,Table,3,13124,39372,10818.84
2024-03-06,West,Groceries,Rice,9,15093,135837,20064.57
2024-03-06,South,Groceries,Oil,6,10997,65982,10023.18
2024-03-07,East,Furniture,Bookshelf,4,10106,40424,2773.59
2024-03-08,South,Stationery,Notebook,4,14134,56536,18625.62
2024-03-08,South,Groceries,Snacks,9,2443,21987,6428.77
2024-03-09,North,Furniture,Table,2,4500,9000,1014.65
2024-03-09,South,Groceries,Snacks,8,10989,87912,10391.66
2024-03-09,West,Clothing,Jacket,3,12865,38595,10496.31
2024-03-10,West,Electronics,Headphones,7,2187,15309,3435.72
2024-03-10,South,Furniture,Table,4,11007,44028,9353.83
2024-03-10,East,Groceries,Snacks,6,15685,94110,18613.78
2024-03-10,South,Furniture,Bookshelf,4,19990,79960,19444.06
2024-03-10,West,Stationery,Notebook,3,5910,17730,3850.98
2024-03-10,South,Clothing,Shirt,4,9796,39184,9522.09
2024-03-10,East,Electronics,Smartwatch,1,5463,5463,1585.36
2024-03-11,South,Electronics,Mobile,5,4947,24735,5495.83
2024-03-11,West,Groceries,Snacks,3,18361,55083,11828.7
2024-03-11,North,Electronics,Smartwatch,3,14194,42582,12323.21
2024-03-11,East,Furniture,Table,8,15117,120936,15066.38
2024-03-11,North,Groceries,Oil,8,9116,72928,9937.61
2024-03-12,North,Furniture,Table,7,17764,124348,29439.98
2024-03-12,West,Clothing,Jeans,1,3503,3503,385.16
2024-03-12,East,Furniture,Table,3,17080,51240,2768.13
2024-03-12,West,Furniture,Bookshelf,1,13890,13890,3882.89
2024-03-13,North,Electronics,Smartwatch,6,14552,87312,28405.37
2024-03-13,West,Electronics,Smartwatch,6,13232,79392,16491.85
2024-03-13,North,Furniture,Bookshelf,8,12761,102088,22303.71
2024-03-13,East,Furniture,Chair,9,10653,95877,7145.49
2024-03-13,South,Stationery,Pen,2,2023,4046,1200.56
2024-03-13,East,Electronics,Laptop,4,7362,29448,7991.55
2024-03-14,South,Groceries,Oil,4,8133,32532,7101.8
2024-03-15,South,Electronics,Headphones,6,14512,87072,10906.96
2024-03-15,East,Clothing,Shoes,2,2292,4584,1542.67
2024-03-16,North,Clothing,Jacket,3,13791,41373,7977.42
2024-03-16,West,Groceries,Oil,6,2462,14772,4506.05
2024-03-17,West,Groceries,Rice,4,4467,17868,1626.36
2024-03-17,North,Furniture,Sofa,1,12059,12059,2301.22
2024-03-17,North,Stationery,Pen,8,12429,99432,5243.0
2024-03-18,West,Clothing,Shoes,4,8556,34224,3159.72
2024-03-18,West,Clothing,Jeans,5,18478,92390,25457.84
2024-03-19,North,Groceries,Oil,2,9497,18994,3460.7
2024-03-21,West,Groceries,Oil,4,19657,78628,13960.15
2024-03-21,North,Groceries,Beverages,4,6317,25268,2242.97
2024-03-22,West,Furniture,Sofa,7,15751,110257,36676.7
2024-03-22,South,Groceries,Oil,7,10377,72639,9887.0
2024-03-23,West,Electronics,Mobile,8,11884,95072,8062.75
2024-03-23,West,Electronics,Headphones,3,13476,40428,12644.73
2024-03-24,East,Clothing,Shirt,5,17399,86995,13643.25
2024-03-24,West,Electronics,Laptop,3,19286,57858,15908.36
2024-03-25,North,Furniture,Bookshelf,9,10504,94536,14777.22
2024-03-25,South,Groceries,Beverages,5,14304,71520,7692.83
2024-03-26,South,Groceries,Oil,9,11452,103068,32099.31
2024-03-26,North,Clothing,Shoes,2,10803,21606,2956.77
2024-03-26,West,Furniture,Table,9,6488,58392,8926.86
2024-03-27,South,Electronics,Headphones,4,1326,5304,537.81
2024-03-28,East,Electronics,Headphones,5,19982,99910,5481.07
2024-03-28,West,Stationery,Pen,5,8827,44135,15358.08
2024-03-28,East,Groceries,Beverages,1,3274,3274,566.08
2024-03-28,East,Groceries,Beverages,8,8645,69160,19358.17
2024-03-29,West,Furniture,Bookshelf,7,12696,88872,9308.22
2024-03-29,East,Groceries,Beverages,4,721,2884,844.83
2024-03-29,South,Electronics,Mobile,8,2786,22288,4366.7
2024-03-29,West,Groceries,Oil,3,10526,31578,10537.64
2024-03-29,West,Furniture,Sofa,8,8280,66240,20445.7
2024-03-30,North,Groceries,Snacks,1,2780,2780,393.24
2024-03-30,East,Furniture,Table,2,305,610,61.15
2024-03-30,South,Stationery,Pen,2,9008,18016,3581.78
2024-03-30,North,Electronics,Mobile,4,3210,12840,4367.93
2024-03-30,West,Groceries,Rice,1,8908,8908,2451.81
2024-03-30,South,Electronics,Mobile,7,1373,9611,703.96
2024-03-31,East,Stationery,Pen,3,12838,38514,2391.92
2024-03-31,South,Electronics,Smartwatch,3,16410,49230,10068.78
2024-04-01,West,Groceries,Snacks,8,12406,99248,10124.23
2024-04-01,East,Electronics,Headphones,9,7124,64116,19305.58
2024-04-02,West,Stationery,Pen,1,8920,8920,2951.07
2024-04-02,West,Furniture,Bookshelf,8,17046,136368,9277.47
2024-04-02,North,Stationery,Files,5,5127,25635,8457.96
2024-04-03,East,Clothing,Shirt,2,4882,9764,2323.76
2024-04-03,West,Groceries,Rice,5,4652,23260,3943.77
2024-04-04,North,Clothing,Shirt,9,1138,10242,2338.24
2024-04-04,North,Electronics,Laptop,7,8445,59115,3882.71
2024-04-04,North,Electronics,Laptop,1,5236,5236,616.43
2024-04-04,West,Electronics,Mobile,3,17048,51144,12534.13
2024-04-05,West,Stationery,Notebook,7,14810,103670,19715.17
2024-04-05,North,Electronics,Smartwatch,5,13384,66920,22515.88
2024-04-05,South,Furniture,Bookshelf,8,16192,129536,26497.58
2024-04-05,South,Electronics,Laptop,7,6772,47404,3988.03
2024-04-06,West,Stationery,Notebook,5,6461,32305,4010.33
2024-04-06,North,Furniture,Sofa,1,15096,15096,1972.06
2024-04-06,West,Stationery,Notebook,8,4219,33752,6814.7
2024-04-07,West,Electronics,Headphones,2,5955,11910,2559.24
2024-04-07,East,Electronics,Smartwatch,1,19892,19892,1660.54
2024-04-07,East,Clothing,Shirt,8,12851,102808,22795.45
2024-04-08,South,Groceries,Snacks,5,11195,55975,6244.28
2024-04-08,West,Stationery,Marker,1,14006,14006,4725.25
2024-04-08,South,Stationery,Pen,2,18452,36904,6774.92
2024-04-08,West,Stationery,Notebook,3,6606,19818,5106.08
2024-04-08,South,Furniture,Sofa,4,5274,21096,3575.44
2024-04-08,North,Groceries,Oil,7,2343,16401,2496.91
2024-04-09,North,Stationery,Marker,2,18335,36670,12073.31
2024-04-10,South,Clothing,Shirt,9,16927,152343,14342.94
2024-04-10,West,Furniture,Table,6,728,4368,738.95
2024-04-10,West,Furniture,Table,2,6279,12558,916.03
2024-04-11,East,Clothing,Shirt,9,13597,122373,17408.65
2024-04-11,East,Electronics,Laptop,9,2810,25290,4066.23
2024-04-11,South,Electronics,Laptop,5,1826,9130,2821.75
2024-04-12,East,Groceries,Rice,8,12164,97312,22289.8
2024-04-12,North,Stationery,Notebook,1,6514,6514,460.63
2024-04-12,South,Electronics,Laptop,5,16302,81510,26347.24
2024-04-13,East,Electronics,Headphones,6,2163,12978,3923.62
2024-04-13,North,Furniture,Chair,2,5841,11682,775.96
2024-04-13,West,Furniture,Table,4,11731,46924,4683.5
2024-04-13,East,Clothing,Jacket,6,17786,106716,16057.74
2024-04-13,West,Clothing,Shoes,2,11954,23908,3425.51
2024-04-14,East,Groceries,Rice,8,13287,106296,5350.88
2024-04-14,North,Stationery,Pen,1,10793,10793,2739.96
2024-04-14,East,Furniture,Table,2,4858,9716,3147.85
2024-04-14,South,Stationery,Files,2,18982,37964,5961.51
2024-04-15,South,Furniture,Chair,8,1166,9328,1526.87
2024-04-16,North,Furniture,Chair,8,4622,36976,7005.29
2024-04-16,North,Stationery,Marker,5,3768,18840,4928.84
2024-04-17,South,Groceries,Snacks,6,18906,113436,16377.77
2024-04-17,North,Groceries,Beverages,5,10614,53070,10196.24
2024-04-17,West,Furniture,Chair,7,517,3619,183.89
2024-04-17,South,Groceries,Snacks,8,6278,50224,10967.75
2024-04-17,North,Furniture,Table,4,13527,54108,5300.63
2024-04-18,West,Furniture,Table,6,5687,34122,9146.71
2024-04-18,West,Groceries,Rice,1,1187,1187,351.78
2024-04-18,East,Clothing,Shoes,8,2453,19624,1677.18
2024-04-19,South,Stationery,Notebook,9,12766,114894,14311.28
2024-04-19,South,Clothing,Jacket,3,7930,23790,1994.97
2024-04-19,West,Clothing,Shoes,4,19315,77260,18125.53
2024-04-20,East,Furniture,Sofa,4,7971,31884,5830.15
2024-04-20,South,Stationery,Notebook,3,2235,6705,1443.69
2024-04-21,East,Clothing,Shirt,3,5794,17382,1492.57
2024-04-21,South,Electronics,Headphones,5,13363,66815,6838.48
2024-04-21,South,Furniture,Sofa,1,1517,1517,221.66
2024-04-21,South,Clothing,Shoes,8,12166,97328,15582.02
2024-04-21,North,Groceries,Oil,4,16854,67416,21158.44
2024-04-21,North,Furniture,Sofa,5,15186,75930,26232.68
2024-04-22,East,Electronics,Laptop,6,7480,44880,5815.04
2024-04-22,North,Clothing,Shirt,7,13201,92407,21884.38
2024-04-22,East,Stationery,Notebook,6,14685,88110,6169.91
2024-04-22,West,Clothing,Shirt,9,9964,89676,24404.68
2024-04-23,South,Electronics,Mobile,4,12802,51208,5953.23
2024-04-23,West,Stationery,Notebook,5,2957,14785,1084.58
2024-04-23,South,Clothing,Jacket,5,19931,99655,22490.27
2024-04-23,East,Electronics,Headphones,2,6408,12816,838.17
2024-04-24,North,Groceries,Oil,7,2494,17458,2149.41
2024-04-24,North,Electronics,Mobile,8,4233,33864,8128.83
2024-04-24,North,Electronics,Laptop,4,13312,53248,9472.25
2024-04-24,East,Stationery,Pen,7,7748,54236,8439.39
2024-04-24,West,Electronics,Mobile,2,13345,26690,7503.19
2024-04-25,North,Electronics,Laptop,2,15369,30738,6270.87
2024-04-25,West,Electronics,Mobile,1,11219,11219,3365.85
2024-04-26,East,Clothing,Shoes,5,10040,50200,2713.57
2024-04-27,North,Furniture,Sofa,3,12882,38646,8654.05
2024-04-27,East,Furniture,Bookshelf,3,4677,14031,2645.43
2024-04-27,West,Stationery,Notebook,4,7842,31368,10335.69
2024-04-27,West,Furniture,Chair,5,12049,60245,3277.81
2024-04-27,East,Furniture,Table,4,2576,10304,559.08
2024-04-29,West,Electronics,Laptop,5,5120,25600,1326.44
2024-04-29,North,Stationery,Marker,9,4875,43875,9829.13
2024-04-29,South,Furniture,Bookshelf,9,2303,20727,2286.59
2024-04-29,West,Electronics,Smartwatch,1,5739,5739,1833.99
2024-04-30,South,Stationery,Pen,1,19403,19403,2446.42
2024-04-30,West,Groceries,Rice,4,8102,32408,3625.19
2024-04-30,South,Electronics,Mobile,5,5303,26515,5433.65
2024-04-30,East,Furniture,Table,8,19249,153992,20058.71
2024-04-30,South,Furniture,Table,1,18137,18137,5575.07
2024-05-01,East,Groceries,Oil,6,5592,33552,8675.17
2024-05-01,East,Clothing,Jacket,8,11563,92504,8589.93
2024-05-01,South,Groceries,Beverages,8,19329,154632,18373.13
2024-05-02,North,Furniture,Bookshelf,7,12649,88543,25531.79
2024-05-02,East,Furniture,Table,1,1040,1040,72.47
2024-05-02,West,Clothing,Shirt,1,7832,7832,837.68
2024-05-02,West,Stationery,Marker,7,4775,33425,10240.22
2024-05-03,South,Furniture,Chair,6,12475,74850,9147.25
2024-05-05,West,Stationery,Files,2,12144,24288,3245.56
2024-05-05,South,Furniture,Chair,9,15598,140382,26170.29
2024-05-06,North,Electronics,Smartwatch,1,1281,1281,415.77
2024-05-06,East,Electronics,Smartwatch,2,15238,30476,2333.9
2024-05-06,West,Furniture,Chair,9,7396,66564,5409.93
2024-05-06,West,Clothing,Shoes,6,16197,97182,20008.17
2024-05-06,East,Electronics,Smartwatch,4,3876,15504,3159.99
2024-05-06,East,Clothing,Jeans,8,10802,86416,18757.76
2024-05-07,North,Electronics,Headphones,7,4425,30975,10198.43
2024-05-07,South,Stationery,Marker,7,10966,76762,16206.38
2024-05-07,West,Stationery,Marker,8,17098,136784,47538.32
2024-05-07,East,Furniture,Table,6,18257,109542,29234.9
2024-05-07,East,Stationery,Files,4,1007,4028,390.89
2024-05-09,East,Groceries,Oil,7,13915,97405,14481.78
2024-05-09,East,Groceries,Oil,1,19450,19450,1499.62
2024-05-09,East,Groceries,Beverages,3,15827,47481,12357.39
2024-05-09,North,Electronics,Headphones,9,2313,20817,6399.06
2024-05-10,West,Stationery,Pen,6,2633,15798,1651.64
2024-05-10,East,Furniture,Bookshelf,6,15991,95946,22963.25
2024-05-10,South,Stationery,Files,6,834,5004,1426.12
2024-05-11,South,Groceries,Oil,9,11850,106650,28042.07
2024-05-11,South,Groceries,Rice,1,10545,10545,877.14
2024-05-11,South,Groceries,Snacks,2,1258,2516,860.81
2024-05-11,West,Clothing,Shoes,8,10257,82056,25517.68
2024-05-11,South,Clothing,Jeans,6,4691,28146,4432.03
2024-05-12,South,Stationery,Files,8,19416,155328,19800.18
2024-05-12,North,Furniture,Bookshelf,4,11222,44888,7555.08
2024-05-13,East,Groceries,Beverages,9,9749,87741,18751.02
2024-05-13,North,Stationery,Marker,2,19845,39690,6534.63
2024-05-14,West,Electronics,Headphones,5,5939,29695,3197.48
2024-05-14,East,Groceries,Snacks,4,12295,49180,4975.45
2024-05-14,West,Stationery,Pen,3,1818,5454,1443.67
2024-05-15,North,Clothing,Jacket,7,9972,69804,21007.48
2024-05-15,South,Electronics,Mobile,5,3639,18195,5013.16
2024-05-16,North,Furniture,Bookshelf,9,8529,76761,11541.28
2024-05-17,West,Clothing,Jeans,7,11480,80360,16918.69
2024-05-17,South,Electronics,Mobile,1,14428,14428,956.31
2024-05-18,North,Electronics,Laptop,5,8328,41640,2188.13
2024-05-18,West,Stationery,Notebook,7,15096,105672,15783.61
2024-05-18,North,Clothing,Jacket,1,10855,10855,2354.85
2024-05-18,North,Furniture,Chair,4,8526,34104,2279.95
2024-05-19,West,Groceries,Snacks,7,6711,46977,6177.0
2024-05-20,South,Furniture,Chair,8,5983,47864,8946.93
2024-05-20,South,Electronics,Laptop,9,9799,88191,9098.18
2024-05-20,South,Furniture,Table,8,16811,134488,42197.13
2024-05-21,West,Groceries,Rice,3,14170,42510,14582.63
2024-05-21,South,Electronics,Laptop,5,1953,9765,1048.34
2024-05-21,West,Stationery,Files,1,19544,19544,6149.92
2024-05-22,West,Groceries,Rice,1,12529,12529,2655.14
2024-05-22,South,Furniture,Table,4,17558,70232,12652.52
2024-05-23,South,Clothing,Shoes,4,1777,7108,1519.53
2024-05-23,West,Groceries,Beverages,3,10046,30138,5831.72
2024-05-23,West,Groceries,Beverages,3,17331,51993,7490.76
2024-05-24,North,Clothing,Jeans,3,5095,15285,4203.51
2024-05-24,North,Electronics,Laptop,4,2979,11916,1564.42
2024-05-24,East,Clothing,Shirt,1,2061,2061,305.24
2024-05-25,North,Electronics,Smartwatch,8,17642,141136,45018.49
2024-05-25,South,Furniture,Table,2,8908,17816,5309.49
2024-05-25,West,Clothing,Jeans,7,13088,91616,25104.89
2024-05-25,North,Groceries,Rice,7,14919,104433,12713.96
2024-05-26,North,Clothing,Jacket,7,19351,135457,37762.56
2024-05-26,East,Furniture,Table,3,10880,32640,6597.35
2024-05-26,South,Electronics,Mobile,2,1609,3218,399.32
2024-05-27,West,Electronics,Laptop,2,19237,38474,7101.91
