Date,Sales
2022-09-02,100.0
2022-09-03,100.0
2022-09-04,237.74
2022-09-05,377.97
2022-09-06,140.92
2022-09-07,200.71
2022-09-08,100.0
2022-09-09,100.0
2022-09-10,191.22
2022-09-11,395.46
2022-09-12,100.0
2022-09-13,136.79
2022-09-14,140.43
2022-09-15,100.0
2022-09-16,100.0
2022-09-17,142.99
2022-09-18,195.5
2022-09-19,330.55
2022-09-20,225.38
2022-09-21,150.41
2022-09-22,100.0
2022-09-23,100.0
2022-09-24,160.03
2022-09-25,311.93
2022-09-26,486.11
2022-09-27,236.94
2022-09-28,403.53
2022-09-29,100.0
2022-09-30,443.12
2022-10-01,317.85
2022-10-02,422.4
2022-10-03,455.9
2022-10-04,509.7
2022-10-05,357.3
2022-10-06,160.7
2022-10-07,334.89
2022-10-08,502.86
2022-10-09,601.07
2022-10-10,777.11
2022-10-11,255.45
2022-10-12,411.92
2022-10-13,296.08
2022-10-14,471.2
2022-10-15,779.77
2022-10-16,514.04
2022-10-17,623.16
2022-10-18,629.29
2022-10-19,656.28
2022-10-20,602.24
2022-10-21,434.41
2022-10-22,755.77
2022-10-23,778.32
2022-10-24,952.32
2022-10-25,773.08
2022-10-26,714.15
2022-10-27,583.89
2022-10-28,519.86
2022-10-29,644.58
2022-10-30,947.06
2022-10-31,846.09
2022-11-01,745.52
2022-11-02,722.57
2022-11-03,737.77
2022-11-04,802.37
2022-11-05,772.32
2022-11-06,968.82
2022-11-07,1097.66
2022-11-08,885.62
2022-11-09,962.67
2022-11-10,798.49
2022-11-11,702.17
2022-11-12,1028.98
2022-11-13,1049.18
2022-11-14,1315.53
2022-11-15,1039.96
2022-11-16,1125.07
2022-11-17,1148.62
2022-11-18,988.02
2022-11-19,1110.96
2022-11-20,1135.5
2022-11-21,1235.66
2022-11-22,1250.13
2022-11-23,1276.61
2022-11-24,1115.49
2022-11-25,911.68
2022-11-26,1292.16
2022-11-27,1183.41
2022-11-28,1527.2
2022-11-29,1384.29
2022-11-30,1181.28
2022-12-01,904.39
2022-12-02,1166.63
2022-12-03,1138.5
2022-12-04,1257.41
2022-12-05,1371.94
2022-12-06,1120.92
2022-12-07,1204.06
2022-12-08,1168.28
2022-12-09,1268.5
2022-12-10,1217.61
2022-12-11,1358.41
2022-12-12,1617.17
2022-12-13,1533.33
2022-12-14,1061.55
2022-12-15,1258.07
2022-12-16,1349.46
2022-12-17,1271.46
2022-12-18,1599.53
2022-12-19,1488.39
2022-12-20,1399.59
2022-12-21,1176.43
2022-12-22,1411.51
2022-12-23,1166.15
2022-12-24,1015.83
2022-12-25,1357.23
2022-12-26,1473.98
2022-12-27,1327.17
2022-12-28,1537.53
2022-12-29,1169.07
2022-12-30,1261.58
2022-12-31,1448.45
2023-01-01,1641.67
2023-01-02,1429.53
2023-01-03,1305.87
2023-01-04,1279.45
2023-01-05,1387.52
2023-01-06,1318.69
2023-01-07,1548.39
2023-01-08,1506.04
2023-01-09,1749.79
2023-01-10,1590.25
2023-01-11,1437.21
2023-01-12,1415.83
2023-01-13,1427.16
2023-01-14,1536.81
2023-01-15,1448.68
2023-01-16,1697.17
2023-01-17,1566.59
2023-01-18,1509.71
2023-01-19,1406.76
2023-01-20,1359.61
2023-01-21,1582.58
2023-01-22,1831.17
2023-01-23,1743.6
2023-01-24,1603.17
2023-01-25,1485.66
2023-01-26,1512.4
2023-01-27,1337.18
2023-01-28,1536.46
2023-01-29,1607.16
2023-01-30,1503.5
2023-01-31,1687.5
2023-02-01,1575.36
2023-02-02,1346.13
2023-02-03,1391.91
2023-02-04,1599.05
2023-02-05,1852.88
2023-02-06,1658.79
2023-02-07,1817.28
2023-02-08,1616.6
2023-02-09,1145.41
2023-02-10,1379.49
2023-02-11,1566.34
2023-02-12,1589.74
2023-02-13,1770.36
2023-02-14,1602.07
2023-02-15,1487.7
2023-02-16,1310.92
2023-02-17,1150.49
2023-02-18,1515.81
2023-02-19,1456.41
2023-02-20,1704.09
2023-02-21,1547.11
2023-02-22,1727.99
2023-02-23,1341.05
2023-02-24,1103.96
2023-02-25,1699.43
2023-02-26,1601.46
2023-02-27,1703.88
2023-02-28,1643.99
2023-03-01,1226.19
2023-03-02,1128.06
2023-03-03,1366.04
2023-03-04,1250.97
2023-03-05,1268.19
2023-03-06,1424.9
2023-03-07,1391.32
2023-03-08,1354.51
2023-03-09,1129.16
2023-03-10,1122.6
2023-03-11,1362.35
2023-03-12,1435.99
2023-03-13,1532.66
2023-03-14,1199.77
2023-03-15,1454.52
2023-03-16,980.74
2023-03-17,1266.97
2023-03-18,1355.86
2023-03-19,1259.79
2023-03-20,1360.64
2023-03-21,1215.93
2023-03-22,1215.27
2023-03-23,1158.82
2023-03-24,1063.52
2023-03-25,1196.48
2023-03-26,1193.85
2023-03-27,1380.26
2023-03-28,1280.51
2023-03-29,1033.45
2023-03-30,849.77
2023-03-31,1107.07
2023-04-01,979.33
2023-04-02,1132.07
2023-04-03,1120.04
2023-04-04,1151.48
2023-04-05,969.5
2023-04-06,726.27
2023-04-07,838.74
2023-04-08,930.58
2023-04-09,1215.66
2023-04-10,1405.58
2023-04-11,1232.04
2023-04-12,1094.01
2023-04-13,982.57
2023-04-14,755.89
2023-04-15,873.34
2023-04-16,880.63
2023-04-17,1160.06
2023-04-18,972.94
2023-04-19,691.82
2023-04-20,768.39
2023-04-21,718.6
2023-04-22,940.92
2023-04-23,904.8
2023-04-24,874.79
2023-04-25,852.54
2023-04-26,697.9
2023-04-27,719.0
2023-04-28,592.96
2023-04-29,681.35
2023-04-30,853.1
2023-05-01,705.91
2023-05-02,695.76
2023-05-03,699.74
2023-05-04,408.8
2023-05-05,658.84
2023-05-06,565.5
2023-05-07,711.62
2023-05-08,817.69
2023-05-09,675.65
2023-05-10,369.19
2023-05-11,232.62
2023-05-12,465.61
2023-05-13,427.87
2023-05-14,610.12
2023-05-15,736.91
2023-05-16,544.39
2023-05-17,361.64
2023-05-18,200.77
2023-05-19,365.87
2023-05-20,735.42
2023-05-21,450.71
2023-05-22,407.13
2023-05-23,440.02
2023-05-24,489.74
2023-05-25,219.3
2023-05-26,256.64
2023-05-27,368.67
2023-05-28,503.34
2023-05-29,389.58
2023-05-30,259.55
2023-05-31,265.43
2023-06-01,400.48
2023-06-02,100.0
2023-06-03,272.4
2023-06-04,378.35
2023-06-05,377.28
2023-06-06,355.4
2023-06-07,119.71
2023-06-08,206.43
2023-06-09,100.0
2023-06-10,100.0
2023-06-11,321.86
2023-06-12,436.33
2023-06-13,619.91
2023-06-14,115.24
2023-06-15,249.54
2023-06-16,100.0
2023-06-17,289.81
2023-06-18,461.63
2023-06-19,304.22
2023-06-20,334.32
2023-06-21,100.0
2023-06-22,100.0
2023-06-23,100.0
2023-06-24,216.44
2023-06-25,100.0
2023-06-26,436.86
2023-06-27,153.32
2023-06-28,100.0
2023-06-29,100.0
2023-06-30,100.0
2023-07-01,405.42
2023-07-02,100.0
2023-07-03,207.91
2023-07-04,100.0
2023-07-05,174.83
2023-07-06,100.0
2023-07-07,100.0
2023-07-08,100.0
2023-07-09,100.0
2023-07-10,205.1
2023-07-11,100.0
2023-07-12,129.28
2023-07-13,100.0
2023-07-14,100.0
2023-07-15,100.0
2023-07-16,130.74
2023-07-17,100.0
2023-07-18,100.0
2023-07-19,100.0
2023-07-20,100.0
2023-07-21,100.0
2023-07-22,100.0
2023-07-23,100.0
2023-07-24,107.92
2023-07-25,239.34
2023-07-26,100.0
2023-07-27,100.0
2023-07-28,100.0
2023-07-29,100.0
2023-07-30,100.0
2023-07-31,100.0
2023-08-01,100.0
2023-08-02,100.0
2023-08-03,100.0
2023-08-04,100.0
2023-08-05,157.95
2023-08-06,290.43
2023-08-07,100.0
2023-08-08,167.9
2023-08-09,100.0
2023-08-10,100.0
2023-08-11,100.0
2023-08-12,102.27
2023-08-13,100.0
2023-08-14,187.62
2023-08-15,241.78
2023-08-16,100.0
2023-08-17,100.0
2023-08-18,100.0
2023-08-19,134.74
2023-08-20,371.62
2023-08-21,216.57
2023-08-22,437.09
2023-08-23,100.0
2023-08-24,104.58
2023-08-25,104.83
2023-08-26,100.0
2023-08-27,176.85
2023-08-28,332.63
2023-08-29,120.82
2023-08-30,100.0
2023-08-31,100.0
2023-09-01,100.0
2023-09-02,204.78
2023-09-03,291.14
2023-09-04,450.78
2023-09-05,441.97
2023-09-06,100.0
2023-09-07,100.0
2023-09-08,253.76
2023-09-09,606.7
2023-09-10,423.81
2023-09-11,482.61
2023-09-12,314.51
2023-09-13,557.73
2023-09-14,152.34
2023-09-15,302.41
2023-09-16,473.03
2023-09-17,337.49
2023-09-18,367.18
2023-09-19,309.48
2023-09-20,346.12
2023-09-21,368.65
2023-09-22,223.78
2023-09-23,672.43
2023-09-24,491.06
2023-09-25,654.79
2023-09-26,524.8
2023-09-27,300.62
2023-09-28,314.59
2023-09-29,389.01
2023-09-30,364.27
2023-10-01,651.24
2023-10-02,583.68
2023-10-03,753.65
2023-10-04,384.85
2023-10-05,314.61
2023-10-06,381.27
2023-10-07,671.77
2023-10-08,917.24
2023-10-09,654.49
2023-10-10,811.73
2023-10-11,709.03
2023-10-12,507.87
2023-10-13,678.54
2023-10-14,797.47
2023-10-15,797.95
2023-10-16,656.5
2023-10-17,848.4
2023-10-18,671.17
2023-10-19,671.46
2023-10-20,763.0
2023-10-21,1075.07
2023-10-22,923.49
2023-10-23,1128.83
2023-10-24,971.53
2023-10-25,764.88
2023-10-26,646.15
2023-10-27,636.93
2023-10-28,691.58
2023-10-29,1120.48
2023-10-30,1177.01
2023-10-31,951.76
2023-11-01,1027.4
2023-11-02,876.99
2023-11-03,899.67
2023-11-04,937.23
2023-11-05,1082.63
2023-11-06,1300.37
2023-11-07,1202.7
2023-11-08,1004.68
2023-11-09,1071.82
2023-11-10,1063.77
2023-11-11,983.27
2023-11-12,1444.5
2023-11-13,1306.1
2023-11-14,1495.84
2023-11-15,1038.02
2023-11-16,812.12
2023-11-17,1187.94
2023-11-18,1455.26
2023-11-19,1344.19
2023-11-20,1440.79
2023-11-21,1608.78
2023-11-22,1355.41
2023-11-23,1256.0
2023-11-24,1147.97
2023-11-25,1256.33
2023-11-26,1309.67
2023-11-27,1379.22
2023-11-28,1424.95
2023-11-29,1380.78
2023-11-30,1477.5
2023-12-01,1478.52
2023-12-02,1454.43
2023-12-03,1574.56
2023-12-04,1645.74
2023-12-05,1506.59
2023-12-06,1590.92
2023-12-07,1252.45
2023-12-08,1334.3
2023-12-09,1324.99
2023-12-10,1459.88
2023-12-11,1715.14
2023-12-12,1713.74
2023-12-13,1581.11
2023-12-14,1514.86
2023-12-15,1323.65
2023-12-16,1787.91
2023-12-17,1756.56
2023-12-18,1687.9
2023-12-19,1657.79
2023-12-20,1432.29
2023-12-21,1373.22
2023-12-22,1529.84
2023-12-23,1577.28
2023-12-24,1770.05
2023-12-25,1807.76
2023-12-26,1518.61
2023-12-27,1742.51
2023-12-28,1759.46
2023-12-29,1465.18
2023-12-30,1728.32
2023-12-31,1914.31
2024-01-01,1833.06
2024-01-02,1780.45
2024-01-03,1549.15
2024-01-04,1497.65
2024-01-05,1622.74
2024-01-06,1864.73
2024-01-07,1851.25
2024-01-08,1987.08
2024-01-09,1827.12
2024-01-10,1648.47
2024-01-11,1685.44
2024-01-12,1680.77
2024-01-13,1880.04
2024-01-14,2040.72
2024-01-15,1951.13
2024-01-16,1873.23
2024-01-17,1808.09
2024-01-18,1553.9
2024-01-19,1609.62
2024-01-20,1863.25
2024-01-21,1737.42
2024-01-22,1702.64
2024-01-23,1713.99
2024-01-24,1766.66
2024-01-25,1641.93
2024-01-26,1629.57
2024-01-27,1753.37
2024-01-28,1754.53
2024-01-29,1898.07
2024-01-30,1741.19
2024-01-31,1799.71
2024-02-01,1602.62
2024-02-02,1712.76
2024-02-03,1803.71
2024-02-04,1849.2
2024-02-05,1839.29
2024-02-06,1734.73
2024-02-07,1743.05
2024-02-08,1663.08
2024-02-09,1500.31
2024-02-10,1686.01
2024-02-11,1873.74
2024-02-12,1872.29
2024-02-13,1893.85
2024-02-14,1665.71
2024-02-15,1718.94
2024-02-16,1505.69
2024-02-17,1759.9
2024-02-18,1773.4
2024-02-19,1723.87
2024-02-20,1393.95
2024-02-21,1569.12
2024-02-22,1522.27
2024-02-23,1589.98
2024-02-24,1788.42
2024-02-25,1801.64
2024-02-26,1748.78
2024-02-27,1585.32
2024-02-28,1499.8
2024-02-29,1504.47
2024-03-01,1290.44
2024-03-02,1444.83
2024-03-03,1696.21
2024-03-04,1895.74
2024-03-05,1651.58
2024-03-06,1591.87
2024-03-07,1376.68
2024-03-08,1295.39
2024-03-09,1471.61
2024-03-10,1708.92
2024-03-11,1600.68
2024-03-12,1573.78
2024-03-13,1461.52
2024-03-14,1576.5
2024-03-15,1527.75
2024-03-16,1253.07
2024-03-17,1423.34
2024-03-18,1680.86
2024-03-19,1493.37
2024-03-20,1417.99
2024-03-21,1348.62
2024-03-22,1421.52
2024-03-23,1126.99
2024-03-24,1375.29
2024-03-25,1244.91
2024-03-26,1594.88
2024-03-27,1288.83
2024-03-28,1138.88
2024-03-29,1207.42
2024-03-30,1407.48
2024-03-31,1438.43
2024-04-01,1250.66
2024-04-02,1402.02
2024-04-03,1336.44
2024-04-04,1054.94
2024-04-05,1150.63
2024-04-06,1106.34
2024-04-07,1527.41
2024-04-08,1210.68
2024-04-09,1199.32
2024-04-10,1119.74
2024-04-11,1038.46
2024-04-12,1084.63
2024-04-13,988.69
2024-04-14,1294.2
2024-04-15,1176.23
2024-04-16,1156.69
2024-04-17,1057.32
2024-04-18,830.43
2024-04-19,606.05
2024-04-20,1214.2
2024-04-21,1126.02
2024-04-22,1066.94
2024-04-23,1235.43
2024-04-24,1092.96
2024-04-25,852.22
2024-04-26,1030.35
2024-04-27,1003.73
2024-04-28,1003.65
2024-04-29,1023.15
2024-04-30,1100.38
2024-05-01,835.58
2024-05-02,643.43
2024-05-03,785.06
2024-05-04,924.03
2024-05-05,937.58
2024-05-06,1033.52
2024-05-07,1048.82
2024-05-08,753.56
2024-05-09,803.07
2024-05-10,690.9
2024-05-11,869.92
2024-05-12,872.06
2024-05-13,896.95
2024-05-14,645.22
2024-05-15,692.2
2024-05-16,107.41
2024-05-17,481.76
2024-05-18,594.12
2024-05-19,699.11
2024-05-20,940.38
2024-05-21,574.17
2024-05-22,575.19
2024-05-23,519.84
2024-05-24,592.04
2024-05-25,664.33
2024-05-26,752.45
2024-05-27,785.14
2024-05-28,848.04
2024-05-29,335.94
2024-05-30,218.85
2024-05-31,426.76
2024-06-01,543.08
2024-06-02,740.47
2024-06-03,656.24
2024-06-04,690.28
2024-06-05,188.19
2024-06-06,259.79
2024-06-07,415.01
2024-06-08,419.06
2024-06-09,649.38
2024-06-10,540.63
2024-06-11,445.52
2024-06-12,456.77
2024-06-13,357.66
2024-06-14,269.38
2024-06-15,574.32
2024-06-16,463.9
2024-06-17,573.09
2024-06-18,146.98
2024-06-19,400.19
2024-06-20,390.26
2024-06-21,311.53
2024-06-22,267.92
2024-06-23,582.42
2024-06-24,510.67
2024-06-25,304.81
2024-06-26,153.8
2024-06-27,231.35
2024-06-28,103.23
2024-06-29,227.78
2024-06-30,551.57
2024-07-01,541.09
2024-07-02,501.32
2024-07-03,169.02
2024-07-04,199.98
2024-07-05,412.76
2024-07-06,256.47
2024-07-07,329.28
2024-07-08,509.09
2024-07-09,412.99
2024-07-10,100.0
2024-07-11,185.02
2024-07-12,256.7
2024-07-13,106.15
2024-07-14,175.03
2024-07-15,327.74
2024-07-16,336.42
2024-07-17,202.92
2024-07-18,179.77
2024-07-19,100.0
2024-07-20,441.64
2024-07-21,593.96
2024-07-22,465.12
2024-07-23,276.55
2024-07-24,137.94
2024-07-25,157.72
2024-07-26,158.91
2024-07-27,285.85
2024-07-28,305.66
2024-07-29,414.75
2024-07-30,260.49
2024-07-31,100.0
2024-08-01,100.0
2024-08-02,100.0
2024-08-03,372.66
2024-08-04,223.9
2024-08-05,387.71
2024-08-06,362.34
2024-08-07,285.24
2024-08-08,100.19
2024-08-09,271.7
2024-08-10,258.13
2024-08-11,384.15
2024-08-12,389.3
2024-08-13,248.1
2024-08-14,192.82
2024-08-15,155.99
2024-08-16,226.74
2024-08-17,539.5
2024-08-18,267.4
2024-08-19,432.42
2024-08-20,316.75
2024-08-21,379.32
2024-08-22,333.63
2024-08-23,217.36
2024-08-24,294.28
2024-08-25,617.59
2024-08-26,554.45
2024-08-27,276.06
2024-08-28,271.16
2024-08-29,294.36
2024-08-30,210.35
2024-08-31,757.14
2024-09-01,457.84
2024-09-02,587.58
2024-09-03,555.45
2024-09-04,439.11
2024-09-05,231.89
2024-09-06,324.1
2024-09-07,545.32
2024-09-08,715.6
2024-09-09,757.19
2024-09-10,617.39
2024-09-11,459.53
2024-09-12,437.06
2024-09-13,416.21
2024-09-14,431.0
2024-09-15,586.06
2024-09-16,826.29
2024-09-17,626.46
2024-09-18,530.29
2024-09-19,584.57
2024-09-20,495.17
2024-09-21,603.82
2024-09-22,939.85
2024-09-23,778.01
2024-09-24,583.06
2024-09-25,582.71
2024-09-26,599.5
2024-09-27,822.07
2024-09-28,778.61
2024-09-29,981.28
2024-09-30,792.49
2024-10-01,958.4
2024-10-02,516.63
2024-10-03,798.73
2024-10-04,803.15
2024-10-05,1118.1
2024-10-06,1016.12
2024-10-07,1109.09
2024-10-08,941.31
2024-10-09,762.09
2024-10-10,805.41
2024-10-11,950.6
2024-10-12,808.44
2024-10-13,1155.18
2024-10-14,1332.97
2024-10-15,902.07
2024-10-16,733.62
2024-10-17,752.97
2024-10-18,682.27
2024-10-19,1173.87
2024-10-20,1151.53
2024-10-21,1115.41
2024-10-22,951.4
2024-10-23,1139.4
2024-10-24,919.87
2024-10-25,1024.99
2024-10-26,1181.81
2024-10-27,1492.64
2024-10-28,1261.35
2024-10-29,1406.11
2024-10-30,1291.93
2024-10-31,1112.44
2024-11-01,1318.34
2024-11-02,1116.26
2024-11-03,1427.77
2024-11-04,1601.21
2024-11-05,1561.03
2024-11-06,1366.64
2024-11-07,1312.18
2024-11-08,1025.4
2024-11-09,1381.56
2024-11-10,1519.6
2024-11-11,1485.14
2024-11-12,1311.55
2024-11-13,1285.81
2024-11-14,1482.97
2024-11-15,1292.45
2024-11-16,1380.92
2024-11-17,1810.22
2024-11-18,1736.27
2024-11-19,1557.69
2024-11-20,1519.2
2024-11-21,1186.22
2024-11-22,1324.93
2024-11-23,1715.23
2024-11-24,1570.11
2024-11-25,1696.28
2024-11-26,1818.93
2024-11-27,1609.54
2024-11-28,1401.75
2024-11-29,1414.58
2024-11-30,1585.67
2024-12-01,1849.21
2024-12-02,1667.09
2024-12-03,1760.79
2024-12-04,1699.15
2024-12-05,1594.94
2024-12-06,1583.83
2024-12-07,1509.59
2024-12-08,1912.92
2024-12-09,2039.18
2024-12-10,1922.7
2024-12-11,1673.27
2024-12-12,1528.73
2024-12-13,1555.94
2024-12-14,1735.78
2024-12-15,1772.1
2024-12-16,1722.31
2024-12-17,1602.45
2024-12-18,1627.94
2024-12-19,1668.54
2024-12-20,1808.54
2024-12-21,2063.59
2024-12-22,2035.75
2024-12-23,2066.65
2024-12-24,2165.26
2024-12-25,1745.08
2024-12-26,1931.89
2024-12-27,1914.53
2024-12-28,1868.82
2024-12-29,2067.02
2024-12-30,2062.72
2024-12-31,1960.65
2025-01-01,1948.7
2025-01-02,1784.25
2025-01-03,1871.24
2025-01-04,1952.24
2025-01-05,2041.95
2025-01-06,1973.7
2025-01-07,2138.27
2025-01-08,1941.78
2025-01-09,1878.59
2025-01-10,1719.85
2025-01-11,2054.62
2025-01-12,2164.91
2025-01-13,2360.01
2025-01-14,2070.04
2025-01-15,1766.78
2025-01-16,1902.2
2025-01-17,1676.58
2025-01-18,2037.98
2025-01-19,2300.02
2025-01-20,2164.77
2025-01-21,1901.28
2025-01-22,1981.97
2025-01-23,1735.19
2025-01-24,1794.36
2025-01-25,1789.22
2025-01-26,2059.6
2025-01-27,2149.07
2025-01-28,2151.99
2025-01-29,1999.13
2025-01-30,1826.74
2025-01-31,1918.11
2025-02-01,2090.29
2025-02-02,2074.78
2025-02-03,2064.04
2025-02-04,2015.87
2025-02-05,1755.93
2025-02-06,1889.3
2025-02-07,2061.52
2025-02-08,1866.08
2025-02-09,2099.46
2025-02-10,2106.99
2025-02-11,1841.21
2025-02-12,1997.09
2025-02-13,1764.34
2025-02-14,1867.39
2025-02-15,1884.14
2025-02-16,2004.58
2025-02-17,2000.66
2025-02-18,2145.13
2025-02-19,1846.33
2025-02-20,1680.8
2025-02-21,1795.06
2025-02-22,1919.75
2025-02-23,2056.6
2025-02-24,2003.23
2025-02-25,1911.95
2025-02-26,1618.98
2025-02-27,1597.68
2025-02-28,1515.36
2025-03-01,1824.81
2025-03-02,2025.37
2025-03-03,2151.7
2025-03-04,1735.85
2025-03-05,1663.19
2025-03-06,1828.7
2025-03-07,1621.85
2025-03-08,1808.82
2025-03-09,1892.41
2025-03-10,1752.8
2025-03-11,1768.73
2025-03-12,1855.73
2025-03-13,1662.52
2025-03-14,1814.7
2025-03-15,1742.81
2025-03-16,1709.35
2025-03-17,1880.06
2025-03-18,1711.22
2025-03-19,1624.11
2025-03-20,1652.7
2025-03-21,1797.7
2025-03-22,1667.08
2025-03-23,1675.77
2025-03-24,1822.28
2025-03-25,1696.66
2025-03-26,1510.1
2025-03-27,1374.19
2025-03-28,1400.38
2025-03-29,1504.98
2025-03-30,1511.17
2025-03-31,1750.42
2025-04-01,1624.25
2025-04-02,1454.43
2025-04-03,1088.97
2025-04-04,1328.08
2025-04-05,1601.51
2025-04-06,1635.41
2025-04-07,1481.65
2025-04-08,1461.59
2025-04-09,1421.82
2025-04-10,1210.48
2025-04-11,1343.64
2025-04-12,1189.88
2025-04-13,1500.94
2025-04-14,1580.13
2025-04-15,1190.52
2025-04-16,1334.11
2025-04-17,1073.75
2025-04-18,1109.63
2025-04-19,1211.32
2025-04-20,1359.83
2025-04-21,1461.29
2025-04-22,1256.48
2025-04-23,1068.43
2025-04-24,1081.71
2025-04-25,1093.26
2025-04-26,1194.6
2025-04-27,1001.02
2025-04-28,1418.79
2025-04-29,1272.05
2025-04-30,1023.84
